algoritmo;tamanho_mapa;tamanho_cluster;densidade_nome;densidade_configurada;densidade_real;semente;numero_mapa;tentativa_geracao_mapa;repeticao;encontrado;tempo_segundos;nos_expandidos;custo_total;passos_caminho;posicoes_caminho;nos_expandidos_abstratos;quantidade_portais;jump_points;nos_grafo_abstrato;arestas_grafo_abstrato;erro
A*;256;16;baixa;0.1;0.0991363525390625;27627;1;1;1;True;0.12984079998568632;12421;384.0559159102169;295;296;0;0;0;0;0;
JPS;256;16;baixa;0.1;0.0991363525390625;27627;1;1;1;True;0.18211500000325032;5418;384.05591591021664;295;296;0;0;5830;0;0;
HPA*;256;16;baixa;0.1;0.0991363525390625;27627;1;1;1;True;7.607788599998457;1513;399.8721497261419;322;323;970;1479;0;2914;16905;
HPA-JPS;256;16;baixa;0.1;0.0991363525390625;27627;1;1;1;True;7.950937499990687;1155;399.87214972614186;322;323;962;1479;273405;2914;16905;
A*;256;16;media;0.2;0.200439453125;27637;1;1;1;True;0.13800080001237802;15475;402.21529547665085;326;327;0;0;0;0;0;
JPS;256;16;media;0.2;0.200439453125;27637;1;1;1;True;0.16498060000594705;7146;402.2152954766505;326;327;0;0;7529;0;0;
HPA*;256;16;media;0.2;0.200439453125;27637;1;1;1;True;12.276923299999908;2446;417.4457428549491;352;353;1587;1959;0;3795;26377;
HPA-JPS;256;16;media;0.2;0.200439453125;27637;1;1;1;True;12.905117099988274;1921;417.4457428549491;352;353;1587;1959;640206;3795;26377;
A*;256;16;alta;0.3;0.300537109375;27647;1;2;1;True;0.20410539998556487;25691;448.39191898578747;402;403;0;0;0;0;0;
JPS;256;16;alta;0.3;0.300537109375;27647;1;2;1;True;0.20755130000179633;11445;448.39191898578724;402;403;0;0;11751;0;0;
HPA*;256;16;alta;0.3;0.300537109375;27647;1;2;1;True;14.030821499996819;3544;456.492424049175;413;414;2413;2046;0;3958;21470;
HPA-JPS;256;16;alta;0.3;0.300537109375;27647;1;2;1;True;14.146184200013522;2892;456.492424049175;413;414;2413;2046;734871;3958;21470;
