tamanho_mapa;densidade_nome;algoritmo;execucoes;sucessos;taxa_sucesso;tempo_medio_segundos;desvio_tempo_segundos;nos_expandidos_medios;custo_medio;passos_medios;portais_medios;jump_points_medios;nos_abstratos_medios
256;alta;A*;1;1;1.0;0.20410539998556487;0.0;25691.0;448.39191898578747;402.0;0.0;0.0;0.0
256;alta;HPA*;1;1;1.0;14.030821499996819;0.0;3544.0;456.492424049175;413.0;2046.0;0.0;3958.0
256;alta;HPA-JPS;1;1;1.0;14.146184200013522;0.0;2892.0;456.492424049175;413.0;2046.0;734871.0;3958.0
256;alta;JPS;1;1;1.0;0.20755130000179633;0.0;11445.0;448.39191898578724;402.0;0.0;11751.0;0.0
256;baixa;A*;1;1;1.0;0.12984079998568632;0.0;12421.0;384.0559159102169;295.0;0.0;0.0;0.0
256;baixa;HPA*;1;1;1.0;7.607788599998457;0.0;1513.0;399.8721497261419;322.0;1479.0;0.0;2914.0
256;baixa;HPA-JPS;1;1;1.0;7.950937499990687;0.0;1155.0;399.87214972614186;322.0;1479.0;273405.0;2914.0
256;baixa;JPS;1;1;1.0;0.18211500000325032;0.0;5418.0;384.05591591021664;295.0;0.0;5830.0;0.0
256;media;A*;1;1;1.0;0.13800080001237802;0.0;15475.0;402.21529547665085;326.0;0.0;0.0;0.0
256;media;HPA*;1;1;1.0;12.276923299999908;0.0;2446.0;417.4457428549491;352.0;1959.0;0.0;3795.0
256;media;HPA-JPS;1;1;1.0;12.905117099988274;0.0;1921.0;417.4457428549491;352.0;1959.0;640206.0;3795.0
256;media;JPS;1;1;1.0;0.16498060000594705;0.0;7146.0;402.2152954766505;326.0;0.0;7529.0;0.0
