origem_resultado;algoritmo;tamanho_mapa;tamanho_cluster;densidade_nome;densidade_configurada;densidade_real;semente;numero_mapa;tentativa_geracao_mapa;repeticao;encontrado;tempo_segundos;nos_expandidos;custo_total;passos_caminho;posicoes_caminho;nos_expandidos_abstratos;quantidade_portais;jump_points;nos_grafo_abstrato;arestas_grafo_abstrato;erro
resultados_256;A*;256;16;baixa;0.1;0.0991363525390625;27627;1;1;1;True;0.12984079998568632;12421;384.0559159102169;295;296;0;0;0;0;0;
resultados_256;JPS;256;16;baixa;0.1;0.0991363525390625;27627;1;1;1;True;0.18211500000325032;5418;384.05591591021664;295;296;0;0;5830;0;0;
resultados_256;HPA*;256;16;baixa;0.1;0.0991363525390625;27627;1;1;1;True;7.607788599998457;1513;399.8721497261419;322;323;970;1479;0;2914;16905;
resultados_256;HPA-JPS;256;16;baixa;0.1;0.0991363525390625;27627;1;1;1;True;7.950937499990687;1155;399.87214972614186;322;323;962;1479;273405;2914;16905;
resultados_256;A*;256;16;media;0.2;0.200439453125;27637;1;1;1;True;0.13800080001237802;15475;402.21529547665085;326;327;0;0;0;0;0;
resultados_256;JPS;256;16;media;0.2;0.200439453125;27637;1;1;1;True;0.16498060000594705;7146;402.2152954766505;326;327;0;0;7529;0;0;
resultados_256;HPA*;256;16;media;0.2;0.200439453125;27637;1;1;1;True;12.276923299999908;2446;417.4457428549491;352;353;1587;1959;0;3795;26377;
resultados_256;HPA-JPS;256;16;media;0.2;0.200439453125;27637;1;1;1;True;12.905117099988274;1921;417.4457428549491;352;353;1587;1959;640206;3795;26377;
resultados_256;A*;256;16;alta;0.3;0.300537109375;27647;1;2;1;True;0.20410539998556487;25691;448.39191898578747;402;403;0;0;0;0;0;
resultados_256;JPS;256;16;alta;0.3;0.300537109375;27647;1;2;1;True;0.20755130000179633;11445;448.39191898578724;402;403;0;0;11751;0;0;
resultados_256;HPA*;256;16;alta;0.3;0.300537109375;27647;1;2;1;True;14.030821499996819;3544;456.492424049175;413;414;2413;2046;0;3958;21470;
resultados_256;HPA-JPS;256;16;alta;0.3;0.300537109375;27647;1;2;1;True;14.146184200013522;2892;456.492424049175;413;414;2413;2046;734871;3958;21470;
resultados_512;A*;512;16;baixa;0.1;0.10010910034179688;53227;1;1;1;True;0.4923895000247285;44674;766.0113267570465;585;586;0;0;0;0;0;
resultados_512;JPS;512;16;baixa;0.1;0.10010910034179688;53227;1;1;1;True;0.7238661000155844;19929;766.0113267570462;585;586;0;0;20881;0;0;
resultados_512;HPA*;512;16;baixa;0.1;0.10010910034179688;53227;1;1;1;True;75.13775039999746;4429;799.4011537017764;642;643;3751;6196;0;12189;74006;
resultados_512;HPA-JPS;512;16;baixa;0.1;0.10010910034179688;53227;1;1;1;True;103.32018149999203;3952;799.4011537017764;642;643;3751;6196;1216246;12189;74006;
resultados_512;A*;512;16;media;0.2;0.19986343383789062;53237;1;1;1;True;1.1778837999736425;74226;812.2884553295713;664;665;0;0;0;0;0;
resultados_512;JPS;512;16;media;0.2;0.19986343383789062;53237;1;1;1;True;1.6239173999929335;35033;812.288455329571;664;665;0;0;35854;0;0;
resultados_512;HPA*;512;16;media;0.2;0.19986343383789062;53237;1;1;1;True;111.83995279998635;7992;836.3056992722712;705;706;6862;8100;0;15767;113229;
resultados_512;HPA-JPS;512;16;media;0.2;0.19986343383789062;53237;1;1;1;True;102.9280776999949;7272;836.3056992722712;705;706;6862;8100;2730544;15767;113229;
resultados_512;A*;512;16;alta;0.3;0.30155181884765625;53247;1;1;1;True;1.0664483000000473;92432;886.9676041556492;783;784;0;0;0;0;0;
resultados_512;JPS;512;16;alta;0.3;0.30155181884765625;53247;1;1;1;True;0.9346802000072785;40946;886.9676041556489;783;784;0;0;41526;0;0;
resultados_512;HPA*;512;16;alta;0.3;0.30155181884765625;53247;1;1;1;True;112.4888269000221;10348;902.6833329081851;807;808;8838;8450;0;16384;90804;
resultados_512;HPA-JPS;512;16;alta;0.3;0.30155181884765625;53247;1;1;1;True;112.35698839998804;9386;902.683332908185;807;808;8835;8450;3153739;16384;90804;
resultados_1024_baixa;A*;1024;16;baixa;0.1;0.10006427764892578;104427;1;1;1;True;3.9332897000131197;175219;1530.5079348883326;1166;1167;0;0;0;0;0;
resultados_1024_baixa;JPS;1024;16;baixa;0.1;0.10006427764892578;104427;1;1;1;True;4.920768999989377;79874;1530.5079348883323;1166;1167;0;0;81830;0;0;
resultados_1024_baixa;HPA*;1024;16;baixa;0.1;0.10006427764892578;104427;1;1;1;True;1562.7476040000038;16075;1599.0449480906734;1283;1284;15214;25050;0;49317;302172;
resultados_1024_baixa;HPA-JPS;1024;16;baixa;0.1;0.10006427764892578;104427;1;1;1;True;1271.8821461999905;15447;1599.0449480906732;1283;1284;15213;25050;4971207;49317;302172;
resultados_1024_media;A*;1024;16;media;0.2;0.20032596588134766;104427;1;1;1;True;3.26716759998817;292526;1627.1626970967704;1331;1332;0;0;0;0;0;
resultados_1024_media;JPS;1024;16;media;0.2;0.20032596588134766;104427;1;1;1;True;3.730891600018367;140848;1627.16269709677;1331;1332;0;0;142554;0;0;
resultados_1024_media;HPA*;1024;16;media;0.2;0.20032596588134766;104427;1;1;1;True;1099.5935749000055;28741;1677.5403307326785;1417;1418;27490;32926;0;64082;466541;
resultados_1024_media;HPA-JPS;1024;16;media;0.2;0.20032596588134766;104427;1;1;1;True;1122.37131279998;27921;1677.5403307326783;1417;1418;27488;32926;11406028;64082;466541;
resultados_1024_alta;A*;1024;16;alta;0.3;0.3003959655761719;104427;1;1;1;True;3.8139131999923848;380181;1775.4082963767175;1577;1578;0;0;0;0;0;
resultados_1024_alta;JPS;1024;16;alta;0.3;0.3003959655761719;104427;1;1;1;True;3.444392900011735;168866;1775.4082963767173;1577;1578;0;0;170090;0;0;
resultados_1024_alta;HPA*;1024;16;alta;0.3;0.3003959655761719;104427;1;1;1;True;1123.1407097000047;38738;1816.6976182580602;1639;1640;37351;34206;0;66177;373035;
resultados_1024_alta;HPA-JPS;1024;16;alta;0.3;0.3003959655761719;104427;1;1;1;True;1631.9198446999944;37922;1816.6976182580602;1639;1640;37351;34206;12779412;66177;373035;
